mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.9715239524841308,0.13453609652118495,0.4445195198059082,0.02324783350390859,10,5,sigmoid,"{'C': 10, 'gamma': 5, 'kernel': 'sigmoid'}",0.575,0.46875,0.5125,0.6125,0.64375,0.5625,0.06410440702479045,28
4.098528718948364,0.027014400537911754,0.9665431022644043,0.02336104304631624,10,auto,linear,"{'C': 10, 'gamma': 'auto', 'kernel': 'linear'}",0.68125,0.575,0.575,0.5875,0.55625,0.595,0.044264828024064444,13
4.154195642471313,0.02520985948791835,1.032442569732666,0.01694974606022533,10,auto,poly,"{'C': 10, 'gamma': 'auto', 'kernel': 'poly'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,45
4.173268747329712,0.023558554864015726,1.031156873703003,0.00953564908618343,10,auto,rbf,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.66875,0.6625,0.675,0.675,0.79375,0.695,0.04959208606219342,9
4.187402677536011,0.016405837577462258,1.0250149250030518,0.003545570680712773,10,auto,sigmoid,"{'C': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.7125,0.7625,0.75,0.725,0.7875,0.7475,0.026692695630078263,3
4.133990240097046,0.035596952103369904,0.952492094039917,0.026227174121856482,10,scale,linear,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}",0.68125,0.575,0.575,0.5875,0.55625,0.595,0.044264828024064444,13
4.148958015441894,0.010929852649169907,1.0309482574462892,0.006183908952443675,10,scale,poly,"{'C': 10, 'gamma': 'scale', 'kernel': 'poly'}",0.5,0.5,0.50625,0.5,0.5,0.50125,0.002499999999999991,38
4.1895411014556885,0.01466254278294923,1.030370283126831,0.01387680626161318,10,scale,rbf,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.66875,0.65625,0.6625,0.65,0.775,0.6824999999999999,0.04667038675648618,11
4.2027363777160645,0.02009830292350944,1.0240715503692628,0.002795065171454112,10,scale,sigmoid,"{'C': 10, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.70625,0.75625,0.725,0.725,0.79375,0.74125,0.030771334062727904,4
4.116720247268677,0.02715940150796257,0.9549835681915283,0.021261487898579803,15,1,linear,"{'C': 15, 'gamma': 1, 'kernel': 'linear'}",0.68125,0.575,0.575,0.5875,0.55625,0.595,0.044264828024064444,13
4.068632507324219,0.04824871917436951,1.0010687828063964,0.018840565447326988,15,1,poly,"{'C': 15, 'gamma': 1, 'kernel': 'poly'}",0.5,0.50625,0.5,0.5,0.5,0.50125,0.002499999999999991,38
4.147604274749756,0.01804165266114584,1.0218869686126708,0.0032569936669678357,15,1,rbf,"{'C': 15, 'gamma': 1, 'kernel': 'rbf'}",0.53125,0.525,0.51875,0.51875,0.51875,0.5225,0.004999999999999982,31
2.1853024482727053,0.16250804692795665,0.4575976371765137,0.03659628307930266,15,1,sigmoid,"{'C': 15, 'gamma': 1, 'kernel': 'sigmoid'}",0.55625,0.4875,0.65,0.6,0.5875,0.57625,0.05367727638395973,26
4.093633460998535,0.024144504043899572,0.9552536964416504,0.026786394534092584,15,5,linear,"{'C': 15, 'gamma': 5, 'kernel': 'linear'}",0.68125,0.575,0.575,0.5875,0.55625,0.595,0.044264828024064444,13
4.044590663909912,0.04678047591554265,0.9858387470245361,0.009278974680395293,15,5,poly,"{'C': 15, 'gamma': 5, 'kernel': 'poly'}",0.5,0.50625,0.5,0.5,0.5,0.50125,0.002499999999999991,38
4.128643465042114,0.013675600256254956,1.0272433757781982,0.00793633566873527,15,5,rbf,"{'C': 15, 'gamma': 5, 'kernel': 'rbf'}",0.53125,0.525,0.51875,0.51875,0.51875,0.5225,0.004999999999999982,31
1.9653168201446534,0.13959901313612819,0.44266819953918457,0.028207242447486375,15,5,sigmoid,"{'C': 15, 'gamma': 5, 'kernel': 'sigmoid'}",0.575,0.46875,0.5125,0.6125,0.63125,0.56,0.06105837370909907,29
4.1057404518127445,0.03427185223227282,0.9607174396514893,0.02389000486259799,15,auto,linear,"{'C': 15, 'gamma': 'auto', 'kernel': 'linear'}",0.68125,0.575,0.575,0.5875,0.55625,0.595,0.044264828024064444,13
4.130382680892945,0.026546029555635144,1.0281863689422608,0.011957794427085862,15,auto,poly,"{'C': 15, 'gamma': 'auto', 'kernel': 'poly'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,45
4.131139802932739,0.025111243788889105,1.0187950611114502,0.0047687063729058565,15,auto,rbf,"{'C': 15, 'gamma': 'auto', 'kernel': 'rbf'}",0.66875,0.65,0.66875,0.65,0.775,0.6825,0.04700398919240792,10
4.172717046737671,0.02129415655120685,1.0114164352416992,0.006957914849547042,15,auto,sigmoid,"{'C': 15, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.7125,0.7375,0.7125,0.69375,0.80625,0.7325,0.03940970692608613,6
4.113479137420654,0.032906747280615836,0.9555928707122803,0.028732306407333496,15,scale,linear,"{'C': 15, 'gamma': 'scale', 'kernel': 'linear'}",0.68125,0.575,0.575,0.5875,0.55625,0.595,0.044264828024064444,13
4.150125408172608,0.020212902196189136,1.0231903076171875,0.002547168379091657,15,scale,poly,"{'C': 15, 'gamma': 'scale', 'kernel': 'poly'}",0.5,0.54375,0.51875,0.5,0.5,0.5125,0.017230060940112764,37
4.15110330581665,0.019296242053357338,1.0221808910369874,0.00718391189755085,15,scale,rbf,"{'C': 15, 'gamma': 'scale', 'kernel': 'rbf'}",0.6625,0.6375,0.65,0.64375,0.7625,0.67125,0.0463680924774785,12
4.192609214782715,0.03662151472419681,0.9994880676269531,0.02611586845344918,15,scale,sigmoid,"{'C': 15, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.71875,0.74375,0.7125,0.70625,0.79375,0.735,0.032015621187164216,5
